epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,13767.1,0.45978,0.34546,0.82478,0.96556,0.85861,0.92913,0.6914,0.74958,0.51601,0.92817,5.9488e-05,5.9488e-05,5.9488e-05
82,13862.1,0.45522,0.34384,0.82646,0.94117,0.86433,0.92823,0.70094,0.74244,0.50395,0.92579,5.66566e-05,5.66566e-05,5.66566e-05
83,13957.2,0.44622,0.33693,0.82327,0.96072,0.86618,0.93367,0.69369,0.73782,0.49656,0.92183,5.38252e-05,5.38252e-05,5.38252e-05
84,14052.9,0.44758,0.33635,0.82126,0.96722,0.84743,0.932,0.68349,0.76241,0.51074,0.93891,5.09938e-05,5.09938e-05,5.09938e-05
85,14148.8,0.44408,0.33524,0.82251,0.95836,0.86296,0.93331,0.69231,0.75641,0.50576,0.93621,4.81624e-05,4.81624e-05,4.81624e-05
86,14244.9,0.43909,0.33374,0.81886,0.96281,0.85744,0.93062,0.69614,0.75658,0.50296,0.93638,4.5331e-05,4.5331e-05,4.5331e-05
87,14340.9,0.42539,0.32525,0.81531,0.95085,0.86395,0.93125,0.69777,0.75358,0.5003,0.93525,4.24996e-05,4.24996e-05,4.24996e-05
88,14436.3,0.42249,0.32545,0.8151,0.95908,0.86144,0.93352,0.69507,0.74874,0.49916,0.9316,3.96682e-05,3.96682e-05,3.96682e-05
89,14531.7,0.4274,0.32859,0.81367,0.9535,0.8624,0.93276,0.6975,0.74405,0.49942,0.93068,3.68368e-05,3.68368e-05,3.68368e-05
90,14628.6,0.41938,0.31884,0.81061,0.95474,0.86657,0.93137,0.69338,0.73846,0.50362,0.92774,3.40054e-05,3.40054e-05,3.40054e-05
91,14724.5,0.41266,0.32227,0.81334,0.94902,0.86716,0.93417,0.69908,0.73163,0.49494,0.92368,3.1174e-05,3.1174e-05,3.1174e-05
92,14817.4,0.40933,0.31665,0.81229,0.9568,0.87004,0.93618,0.70033,0.73191,0.49622,0.92582,2.83426e-05,2.83426e-05,2.83426e-05
93,14913.5,0.41382,0.31958,0.81138,0.95895,0.8693,0.935,0.6974,0.73234,0.50066,0.92513,2.55112e-05,2.55112e-05,2.55112e-05
94,15005,0.40725,0.31408,0.80855,0.95356,0.87233,0.93499,0.70373,0.72654,0.49861,0.92414,2.26798e-05,2.26798e-05,2.26798e-05
95,15095,0.40141,0.31159,0.81217,0.95888,0.86511,0.93561,0.70164,0.72812,0.49384,0.92583,1.98484e-05,1.98484e-05,1.98484e-05
96,15185.4,0.40522,0.31646,0.81143,0.96034,0.86433,0.93553,0.70095,0.72053,0.49009,0.92059,1.7017e-05,1.7017e-05,1.7017e-05
97,15277.7,0.3987,0.31282,0.81115,0.95292,0.87227,0.93558,0.70033,0.72462,0.48728,0.92291,1.41856e-05,1.41856e-05,1.41856e-05
98,15372.9,0.40104,0.30881,0.80926,0.96694,0.866,0.93639,0.69988,0.72442,0.48928,0.9226,1.13542e-05,1.13542e-05,1.13542e-05
99,15469.4,0.40059,0.31214,0.80838,0.9659,0.86863,0.93681,0.69993,0.72903,0.48841,0.92477,8.5228e-06,8.5228e-06,8.5228e-06
100,15566.9,0.3955,0.3091,0.80442,0.96458,0.86981,0.93692,0.70199,0.72527,0.48804,0.92318,5.6914e-06,5.6914e-06,5.6914e-06
